code,year,end_date,institution_id,industry_code,annual_report_ai_word_freq,annual_report_ai_sentence_freq,annual_report_total_sentences,annual_report_total_words,ai_disclosure_sentence_ratio,ai_disclosure_word_ratio,ai_sentence_per_1000_sentences,ai_word_per_1000_words,annual_trading_shares,float_market_value_thousand,total_market_value_thousand,annual_return_no_cash_dividend,investor_sentiment_proxy_log_trading_volume
000035,2020,2020-12-31,101881,N77,2,2,2534,70710,0.0007892659826361484,2.82845424975251e-05,0.7892659826361483,0.0282845424975251,2847194109,10083249.5,10372724.69,-0.333874,21.769599823459046
000035,2021,2021-12-31,101881,N77,6,6,2645,73708,0.002268431001890359,8.140229011776199e-05,2.268431001890359,0.08140229011776198,3814924119,14744605.71,15167901.55,0.462287,22.062186611576767
000035,2022,2022-12-31,101881,N77,1,1,2457,63359,0.000407000407000407,1.5783077384428416e-05,0.40700040700040696,0.015783077384428416,8310267547,12438461.06,12795550.9,-0.139767,22.840757641204036
000035,2023,2023-12-31,101881,N77,2,2,3424,75817,0.0005841121495327102,2.6379308070749303e-05,0.5841121495327103,0.026379308070749303,4275175134,12119526.16,12467459.85,-0.025641,22.17609090574746
000035,2024,2024-12-31,101881,N77,7,7,3581,79345,0.001954761239877129,8.82223202470225e-05,1.9547612398771292,0.0882223202470225,7395097274,11813617.2,12178814.1,-0.009919,22.724083087180873
000036,2020,2020-12-31,10988,K70,2,2,2052,47046,0.0009746588693957114,4.2511584406750836e-05,0.9746588693957114,0.04251158440675084,3117917058,5886422.6,5906057.42,0.016241,21.86043100652261
000036,2021,2021-12-31,10988,K70,0,0,2088,46254,0.0,0.0,0.0,0.0,2798762933,6421790.59,6440273.67,0.148241,21.752443347215376
000036,2022,2022-12-31,10988,K70,0,0,2045,45119,0.0,0.0,0.0,0.0,3851379650,5992684.77,6009932.8,-0.051152,22.071697271962844
000036,2023,2023-12-31,10988,K70,0,0,2217,50479,0.0,0.0,0.0,0.0,2712650125,5755936.73,5772503.36,-0.031111,21.72119190027224
000036,2024,2024-12-31,10988,K70,0,0,2246,50654,0.0,0.0,0.0,0.0,4216423080,6041149.8,6054450.82,0.048843,22.162252994431455
000037,2020,2020-12-31,10880,D44,0,0,1786,42937,0.0,0.0,0.0,0.0,1153380712,3700722.61,3700877.0,-0.127592,20.865963217139985
000037,2021,2021-12-31,10880,D44,0,0,1694,41114,0.0,0.0,0.0,0.0,1871892400,2656926.05,2657039.9,-0.282051,21.35021573525159
000037,2022,2022-12-31,10880,D44,0,0,1729,40987,0.0,0.0,0.0,0.0,3153030151,2717939.15,2718043.36,0.022959,21.871629780419525
000037,2023,2023-12-31,10880,D44,0,0,1825,43976,0.0,0.0,0.0,0.0,3465555132,2785682.58,2785824.99,0.024938,21.96613866829979
000037,2024,2024-12-31,10880,D44,0,0,1976,49145,0.0,0.0,0.0,0.0,4598095090,2697605.44,2697708.87,-0.03163,22.24890794402179
000038,2020,2020-12-31,10881,L72,3,3,2238,50451,0.0013404825737265416,5.9463637985371946e-05,1.3404825737265416,0.059463637985371944,2928171927,2286508.47,5018663.22,-0.189873,21.797644149900844
000038,2021,2021-12-31,10881,L72,2,2,2422,52212,0.0008257638315441783,3.8305370412931895e-05,0.8257638315441783,0.038305370412931895,674626651,2045948.73,4490658.03,-0.105208,20.329669987667916
000039,2020,2020-12-31,10985,C33,8,8,4721,125307,0.0016945562380851515,6.384320109810306e-05,1.6945562380851515,0.06384320109810306,4037612731,22998728.71,23011473.68,0.538697,22.118919446343785
000039,2021,2021-12-31,10985,C33,5,5,4791,124802,0.0010436234606553956,4.0063460521466e-05,1.0436234606553956,0.040063460521466,6038273974,26328097.7,26342687.69,0.163442,22.521384042325852
000039,2022,2022-12-31,10985,C33,8,8,4668,121569,0.001713796058269066,6.580624994858887e-05,1.7137960582690661,0.06580624994858887,3226769774,16201906.28,16210884.73,-0.344406,21.894747404118217
000039,2023,2023-12-31,10985,C33,10,8,4154,94884,0.0019258545979778526,0.00010539184688672485,1.9258545979778525,0.10539184688672484,3239519419,17605764.64,17615521.05,0.112216,21.898690828588595
000039,2024,2024-12-31,10985,C33,7,7,3530,98722,0.00198300283286119,7.090618099309172e-05,1.98300283286119,0.07090618099309172,7337275812,17881933.49,17891842.95,0.018562,22.716233468039306
000042,2020,2020-12-31,103439,K70,0,0,2293,54587,0.0,0.0,0.0,0.0,485776286,6056967.99,6076556.61,-0.14733,20.001258761072567
000042,2021,2021-12-31,103439,K70,0,0,2269,51989,0.0,0.0,0.0,0.0,296642285,5351596.3,5358538.98,-0.112691,19.508037546622752
000042,2022,2022-12-31,103439,K70,2,1,2190,50453,0.00045662100456621003,3.964085386399223e-05,0.45662100456621,0.03964085386399223,2021185577,5271919.93,5278759.24,-0.010918,21.42695009599144
000042,2023,2023-12-31,103439,K70,0,0,2321,52160,0.0,0.0,0.0,0.0,1100949885,3811299.02,3816130.74,-0.275567,20.819439176848128
000042,2024,2024-12-31,103439,K70,0,0,2320,52369,0.0,0.0,0.0,0.0,3945508719,2967908.81,2971795.19,-0.221254,22.095843736035707
000045,2020,2020-12-31,101184,C39,0,0,2172,54647,0.0,0.0,0.0,0.0,1888912696,3276818.16,3286328.48,-0.037584,21.359267207881093
000045,2021,2021-12-31,101184,C39,0,0,2209,54204,0.0,0.0,0.0,0.0,1354908235,4328323.02,4342391.57,0.329149,21.026999566475578
000045,2022,2022-12-31,101184,C39,0,0,2308,55042,0.0,0.0,0.0,0.0,2886472657,5068372.31,5069170.79,0.172632,21.783301060049016
000045,2023,2023-12-31,101184,C39,0,0,2183,47932,0.0,0.0,0.0,0.0,2054650591,5392857.82,5393707.42,0.069432,21.443371642214327
000045,2024,2024-12-31,101184,C39,1,1,2234,49239,0.0004476275738585497,2.0309104571579438e-05,0.4476275738585497,0.020309104571579438,2751031352,4858142.25,4858915.59,-0.093644,21.735241715770467
000048,2020,2020-12-31,101187,C13,0,0,2551,60912,0.0,0.0,0.0,0.0,655745234,9215616.57,9217060.64,0.093389,20.301282910196104
000048,2021,2021-12-31,101187,C13,0,0,2452,57438,0.0,0.0,0.0,0.0,410818954,9055852.38,9057271.42,0.048166,19.833663176628963
000048,2022,2022-12-31,101187,C13,1,1,2348,55680,0.00042589437819420784,1.795977011494253e-05,0.42589437819420783,0.017959770114942528,946918283,9339820.61,9339820.61,0.106297,20.66872335809247
000048,2023,2023-12-31,101187,C13,1,1,2447,57611,0.0004086636697997548,1.7357796254187568e-05,0.4086636697997548,0.01735779625418757,1130663538,9575278.28,9709417.28,0.081232,20.84607049998951
000048,2024,2024-12-31,101187,C13,3,3,2433,56360,0.0012330456226880395,5.3229240596167495e-05,1.2330456226880395,0.053229240596167494,1182567391,9481675.5,9545080.5,0.004372,20.89095366782694
000049,2020,2020-12-31,107889,C38,28,21,2031,47149,0.0103397341211226,0.000593862011919659,10.3397341211226,0.5938620119196589,1430236333,13874476.69,14006567.09,0.676485,21.081105536094356
000049,2021,2021-12-31,107889,C38,21,17,2232,55696,0.0076164874551971325,0.00037704682562482043,7.616487455197133,0.37704682562482045,2385825673,17407574.28,17513435.93,0.26574,21.592811095924475
000049,2022,2022-12-31,107889,C38,26,21,2329,60241,0.009016745384285102,0.00043159974104015536,9.016745384285102,0.43159974104015536,2525956503,13012770.1,13017340.76,-0.241598,21.649885641407376
