code,report_year,total_ai_sentences,innovation_sentences,risk_sentences,neutral_sentences,mixed_sentences,total_sentences_in_report,AI_Disclosure,AI_Innovation_Disclosure,AI_Risk_Disclosure,AI_Innovation_Ratio,AI_Risk_Ratio,Y_return,Size,Lev,ROA,Growth,CashRatio,TobinQ,ListAge,Board,Indep,Dual,Top1,SOE
000012,2021,11,11,0,0,0,1070,0.0102803738317757,0.0102803738317757,0.0,1.0,0.0,0.359079,23.71596173086191,0.4048719943381987,0.082557,0.277173,0.727292,1.531666,3.367295829986474,2.1972245773362196,0.3333333333333333,0.0,0.151883,0.0
000012,2022,7,7,0,0,0,1118,0.006261180679785331,0.006261180679785331,0.0,1.0,0.0,-0.304129,23.977663747547403,0.4836448258038121,0.089153,0.115171,0.61296,1.105635,3.4011973816621555,2.4849066497880004,0.4166666666666667,0.0,0.151883,0.0
000012,2023,8,7,0,1,0,1259,0.006354249404289118,0.005559968228752979,0.0,0.875,0.0,-0.147541,24.136459551077838,0.5212213052751647,0.054969,0.197132,0.339895,0.96309,3.4339872044851463,2.1972245773362196,0.4444444444444444,0.0,0.151883,0.0
000014,2021,1,1,0,0,0,942,0.001061571125265393,0.001061571125265393,0.0,1.0,0.0,-0.042512,21.654984157100866,0.6086447861746984,0.019704,0.851127,0.167509,1.237864,3.367295829986474,2.4849066497880004,0.3333333333333333,0.0,0.340167,1.0
000014,2022,1,1,0,0,0,898,0.00111358574610245,0.00111358574610245,0.0,1.0,0.0,0.550253,21.818760100475817,0.5922796217981147,0.089717,0.189899,0.342531,1.416997,3.4011973816621555,2.1972245773362196,0.3333333333333333,0.0,0.340167,1.0
000014,2023,1,1,0,0,0,851,0.001175088131609871,0.001175088131609871,0.0,1.0,0.0,0.092247,21.64448813718703,0.3190878850226296,0.182303,0.81929,0.723449,1.379815,3.4339872044851463,2.4849066497880004,0.4166666666666667,0.0,0.340167,1.0
000017,2019,1,1,0,0,0,771,0.001297016861219196,0.001297016861219196,0.0,1.0,0.0,,20.012789582959957,0.8176163551996029,-0.11493,-0.365986,0.118427,7.340611,3.332204510175204,2.1972245773362196,0.3333333333333333,1.0,0.11518800000000001,0.0
000017,2020,1,1,0,0,0,850,0.001176470588235294,0.001176470588235294,0.0,1.0,0.0,-0.466814,,,,,,,,,,,,
000017,2021,1,1,0,0,0,890,0.001123595505617978,0.001123595505617978,0.0,1.0,0.0,0.481328,19.975656577584658,0.7534728193113805,-0.01734,0.402088,0.454613,9.598497,3.367295829986474,2.1972245773362196,0.3333333333333333,1.0,0.11518800000000001,0.0
000017,2022,1,1,0,0,0,879,0.001137656427758817,0.001137656427758817,0.0,1.0,0.0,0.333333,19.809886412775423,0.2326120252625267,-0.032277,1.691506,0.556421,4.764823,3.4011973816621555,2.70805020110221,0.4,0.0,0.2,0.0
